lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
151.1794357,-33.9076585,1100,100,0,0,0
151.1805169,-33.9076745,1100,100,0,0,0
151.1761731,-33.9085119,270,100,0,0,0
151.1772543,-33.9085279,270,100,0,0,0
151.1783354,-33.9085439,1100,100,0,0,0
151.1794166,-33.9085599,1100,100,0,0,0
151.1804977,-33.9085759,1100,100,0,0,0
151.1750727,-33.9093974,270,100,0,0,0
151.1761539,-33.9094134,270,100,0,0,0
151.1772351,-33.9094294,1100,100,0,0,0
151.1783162,-33.9094454,1100,100,0,0,0
151.1793974,-33.9094614,1100,100,0,0,0
151.1804786,-33.9094773,1100,100,0,0,0
151.1739723,-33.9102828,1100,100,0,0,0
151.1750535,-33.9102988,270,100,0,0,0
151.1761347,-33.9103148,270,100,0,0,0
151.1772159,-33.9103308,270,100,0,0,0
151.178297,-33.9103468,1100,100,0,0,0
151.1793782,-33.9103628,1100,100,0,0,0
151.1804594,-33.9103788,1100,100,0,0,0
151.1717907,-33.9111521,1100,100,0,0,0
151.1728719,-33.9111682,1100,100,0,0,0
151.1739531,-33.9111842,1100,100,0,0,0
151.1750343,-33.9112002,1100,100,0,0,0
151.1761155,-33.9112163,1100,100,0,0,0
151.1771967,-33.9112323,1100,100,0,0,0
151.1782779,-33.9112483,1100,100,0,0,0
151.179359,-33.9112643,1100,100,0,0,0
151.1804402,-33.9112802,1100,100,0,0,0
151.1706903,-33.9120375,1100,100,0,0,0
151.1717715,-33.9120536,1100,100,0,0,0
151.1728527,-33.9120696,1100,100,0,0,0
151.1739339,-33.9120857,1100,100,0,0,0
151.1750151,-33.9121017,1100,100,0,0,0
151.1760963,-33.9121177,1100,100,0,0,0
151.1771775,-33.9121337,1100,100,0,0,0
151.1782587,-33.9121497,1100,100,0,0,0
151.1793399,-33.9121657,1100,100,0,0,0
151.1804211,-33.9121817,1100,100,0,0,0
151.1695898,-33.9129229,180,100,0,0,0
151.170671,-33.912939,180,100,0,0,0
151.1717522,-33.912955,1100,100,0,0,0
151.1728334,-33.9129711,1100,100,0,0,0
151.1739146,-33.9129871,1100,100,0,0,0
151.1749958,-33.9130031,1100,100,0,0,0
151.1760771,-33.9130192,1100,100,0,0,0
151.1771583,-33.9130352,1100,100,0,0,0
151.1782395,-33.9130512,1100,100,0,0,0
151.1793207,-33.9130672,1100,100,0,0,0
151.1804019,-33.9130831,1100,100,0,0,0
151.1684893,-33.9138083,180,100,0,0,0
151.1695705,-33.9138243,180,100,0,0,0
151.1706517,-33.9138404,180,100,0,0,0
151.171733,-33.9138565,1100,100,0,0,0
151.1728142,-33.9138725,1100,100,0,0,0
151.1738954,-33.9138886,1100,100,0,0,0
151.1749766,-33.9139046,1100,100,0,0,0
151.1760579,-33.9139206,1100,100,0,0,0
151.1771391,-33.9139366,1100,100,0,0,0
151.1782203,-33.9139526,1100,100,0,0,0
151.1793015,-33.9139686,1100,100,0,0,0
151.1803827,-33.9139846,1100,100,0,0,0
151.181464,-33.9140006,1100,100,0,0,0
151.1652263,-33.9146614,1100,100,0,0,0
151.1663076,-33.9146775,1100,100,0,0,0
151.1673888,-33.9146936,1100,100,0,0,0
151.16847,-33.9147097,1100,100,0,0,0
151.1695513,-33.9147258,1100,100,0,0,0
151.1706325,-33.9147418,1100,100,0,0,0
151.1717137,-33.9147579,1100,100,0,0,0
151.1727949,-33.914774,1100,100,0,0,0
151.1738762,-33.91479,1100,100,0,0,0
151.1749574,-33.914806,1100,100,0,0,0
151.1760386,-33.914822,1100,100,0,0,0
151.1771199,-33.9148381,1100,100,0,0,0
151.1782011,-33.9148541,1100,100,0,0,0
151.1792823,-33.9148701,1100,100,0,0,0
151.1803636,-33.914886,1100,100,0,0,0
151.1814448,-33.914902,1100,100,0,0,0
151.1825261,-33.914918,115,100,0,0,0
151.1836073,-33.9149339,115,100,0,0,0
151.165207,-33.9155628,1100,100,0,0,0
151.1662883,-33.915579,1100,100,0,0,0
151.1673695,-33.9155951,1100,100,0,0,0
151.1684507,-33.9156111,1100,100,0,0,0
151.169532,-33.9156272,1100,100,0,0,0
151.1706132,-33.9156433,1100,100,0,0,0
151.1716945,-33.9156593,1100,100,0,0,0
151.1727757,-33.9156754,1100,100,0,0,0
151.1738569,-33.9156914,1100,100,0,0,0
151.1749382,-33.9157075,1100,100,0,0,0
151.1760194,-33.9157235,1100,100,0,0,0
151.1771007,-33.9157395,1100,100,0,0,0
151.1781819,-33.9157555,1100,100,0,0,0
151.1792632,-33.9157715,1100,100,0,0,0
151.1803444,-33.9157875,1100,100,0,0,0
151.1814257,-33.9158035,180,100,0,0,0
151.1825069,-33.9158194,180,100,0,0,0
151.1835882,-33.9158354,115,100,0,0,0
151.1846694,-33.9158513,115,100,0,0,0
151.1641064,-33.9164482,180,100,0,0,0
151.1651877,-33.9164643,270,100,0,0,0
151.1662689,-33.9164804,1100,100,0,0,0
151.1673502,-33.9164965,1100,100,0,0,0
151.1684314,-33.9165126,1100,100,0,0,0
151.1695127,-33.9165287,1100,100,0,0,0
