lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
151.1775135,-33.91689084,180,100,0,0,0
151.0710156,-33.84313119,1100,100,0,0,0
151.1559034,-33.66408097,270,100,0,0,0
151.2049793,-33.63775049,115,100,0,0,0
151.1488231,-33.99310904,270,100,0,0,0
151.0635143,-33.45526404,270,100,0,0,0
151.2101816,-33.64684365,270,100,0,0,0
151.1944838,-33.62407107,115,100,0,0,0
151.2160359,-33.62438391,115,100,0,0,0
151.1943897,-33.62857856,115,100,0,0,0
151.2212387,-33.63347664,115,100,0,0,0
151.237221,-33.64272335,115,100,0,0,0
151.018022,-34.03164662,270,100,0,0,0
151.0397781,-34.02748705,270,100,0,0,0
151.1666841,-33.66424139,270,100,0,0,0
151.1996842,-33.63316463,115,100,0,0,0
150.8796072,-33.4973404,270,100,0,0,0
151.2108343,-33.61529099,115,100,0,0,0
150.9448465,-33.92224379,270,100,0,0,0
151.1609071,-33.93467844,270,100,0,0,0
151.0657159,-33.83853953,1100,100,0,0,0
151.1534937,-33.52427088,1100,100,0,0,0
150.8286038,-33.60015269,270,100,0,0,0
151.1968605,-33.76838791,115,100,0,0,0
151.2718957,-33.52597997,115,100,0,0,0
151.1610673,-33.42067822,115,100,0,0,0
150.9299054,-34.31421323,270,100,0,0,0
150.9013414,-33.4886933,270,100,0,0,0
150.939332,-33.92666001,270,100,0,0,0
151.1861259,-34.02071645,270,100,0,0,0
151.2663336,-33.5349202,115,100,0,0,0
151.1613897,-33.65965392,115,100,0,0,0
151.1476088,-33.7992193,1100,100,0,0,0
151.2411534,-33.44889414,115,100,0,0,0
151.1557873,-33.41609085,115,100,0,0,0
151.1717884,-33.67784344,270,100,0,0,0
151.1245393,-33.61852109,270,100,0,0,0
151.2019843,-34.03898381,1100,100,0,0,0
150.7321443,-33.58038784,270,100,0,0,0
151.2627526,-33.44468968,270,100,0,0,0
151.0876855,-34.06430952,115,100,0,0,0
151.1916529,-33.75929416,270,100,0,0,0
151.2396946,-33.5210174,1100,100,0,0,0
151.0636145,-33.45075676,270,100,0,0,0
150.7376457,-33.57598019,270,100,0,0,0
151.1530076,-33.79930027,115,100,0,0,0
151.0949151,-33.98326877,115,100,0,0,0
150.7102523,-33.5935096,270,100,0,0,0
151.1717234,-33.42534475,115,100,0,0,0
151.151692,-34.11037423,1100,100,0,0,0
151.1466364,-33.84429155,115,100,0,0,0
151.2021633,-33.77297407,115,100,0,0,0
151.1919163,-33.48876641,115,100,0,0,0
150.9058515,-33.52483872,270,100,0,0,0
151.1587695,-34.03383549,270,100,0,0,0
150.802135,-33.58165125,270,100,0,0,0
151.0138098,-34.21191296,1100,100,0,0,0
151.3588636,-33.48207223,115,100,0,0,0
151.0192783,-33.97756559,270,100,0,0,0
151.3587785,-33.48658021,180,100,0,0,0
151.0981133,-34.08250527,1100,100,0,0,0
151.0303982,-34.19865559,1100,100,0,0,0
151.2083337,-33.47547802,115,100,0,0,0
151.1659685,-33.4432956,115,100,0,0,0
151.1918256,-34.0072746,270,100,0,0,0
150.9819439,-33.95441663,270,100,0,0,0
151.1458569,-33.8803491,115,100,0,0,0
151.0122286,-33.81514578,115,100,0,0,0
151.2090078,-33.96243968,115,100,0,0,0
151.1214965,-33.51026299,1100,100,0,0,0
151.1184824,-34.14142906,1100,100,0,0,0
151.3639041,-33.50017532,115,100,0,0,0
151.0637147,-33.44624948,270,100,0,0,0
151.1707772,-33.47042035,1100,100,0,0,0
150.8889418,-33.5561117,270,100,0,0,0
151.1664928,-33.67325616,115,100,0,0,0
151.2573755,-33.44461421,270,100,0,0,0
150.8741179,-33.50175491,270,100,0,0,0
151.3374312,-33.47727741,115,100,0,0,0
151.2659734,-33.55295109,115,100,0,0,0
151.1592563,-34.01129995,270,100,0,0,0
150.9718763,-33.92269207,270,100,0,0,0
151.1714328,-33.94836114,270,100,0,0,0
151.2156641,-33.64241405,270,100,0,0,0
150.8888321,-33.56061842,270,100,0,0,0
151.130514,-34.08751117,115,100,0,0,0
151.1986018,-33.42573813,115,100,0,0,0
151.3594583,-33.45051626,180,100,0,0,0
150.8339892,-33.60024713,270,100,0,0,0
151.1156603,-34.02416515,115,100,0,0,0
150.8177197,-33.60446958,270,100,0,0,0
150.9061774,-33.51131834,270,100,0,0,0
151.364328,-33.47763537,115,100,0,0,0
151.1050595,-33.52353911,115,100,0,0,0
151.3586935,-33.49108819,115,100,0,0,0
151.3223355,-33.42296478,115,100,0,0,0
151.3534839,-33.48200086,180,100,0,0,0
151.0265896,-33.42311993,115,100,0,0,0
151.1700808,-34.01146152,115,100,0,0,0
151.0714395,-34.06405558,115,100,0,0,0
151.1734529,-33.85370928,1100,100,0,0,0
151.1701775,-34.00695437,115,100,0,0,0
151.2719854,-33.52147222,115,100,0,0,0
151.2882541,-33.78772507,270,100,0,0,0
150.8962898,-33.47508169,270,100,0,0,0
150.8863002,-33.44335117,270,100,0,0,0
151.0134492,-33.99550537,270,100,0,0,0
151.151594,-34.11488125,1100,100,0,0,0
151.1663478,-33.42526538,115,100,0,0,0
151.0280129,-33.83343352,115,100,0,0,0
151.2998647,-33.47225862,270,100,0,0,0
150.9377092,-33.5434081,115,100,0,0,0
151.148334,-34.01564451,115,100,0,0,0
151.2122294,-33.54767755,115,100,0,0,0
151.0530623,-33.44157379,270,100,0,0,0
150.961601,-33.89998016,270,100,0,0,0
151.1607132,-33.94369279,270,100,0,0,0
151.0818183,-33.84329979,115,100,0,0,0
151.1482361,-34.0201516,115,100,0,0,0
150.9657198,-33.95414948,115,100,0,0,0
151.1880377,-33.41656624,270,100,0,0,0
151.3375173,-33.47276947,115,100,0,0,0
150.9818374,-33.95892332,1100,100,0,0,0
151.1153334,-33.54624013,115,100,0,0,0
150.9505762,-33.90881403,270,100,0,0,0
151.1330322,-33.47436633,115,100,0,0,0
151.113568,-33.62737176,115,100,0,0,0
151.2660635,-33.54844337,115,100,0,0,0
150.9215628,-33.54313802,180,100,0,0,0
151.1537465,-34.01572591,115,100,0,0,0
150.9467467,-34.29195596,1100,100,0,0,0
150.9667915,-33.90908287,270,100,0,0,0
151.3061346,-33.70230306,115,100,0,0,0
151.0416405,-33.9463642,115,100,0,0,0
150.9560889,-33.90439723,270,100,0,0,0
150.9019935,-33.46165244,270,100,0,0,0
151.2235495,-33.52078683,1100,100,0,0,0
150.8892707,-33.54259155,270,100,0,0,0
150.8225384,-33.62709688,270,100,0,0,0
151.0584386,-33.44165811,270,100,0,0,0
150.9537496,-33.54818298,115,100,0,0,0
150.9484736,-33.54358698,115,100,0,0,0
151.2996747,-33.75632099,1100,100,0,0,0
151.1589643,-34.02482128,115,100,0,0,0
151.116018,-33.51468863,115,100,0,0,0
151.175493,-34.01154195,270,100,0,0,0
150.7914817,-33.57695305,270,100,0,0,0
151.1536488,-34.02023301,115,100,0,0,0
151.0498201,-33.8247633,115,100,0,0,0
151.3639889,-33.49566734,115,100,0,0,0
151.0846263,-33.47362753,115,100,0,0,0
151.0266916,-33.41861273,115,100,0,0,0
151.2775474,-33.7830672,115,100,0,0,0
151.1547376,-33.46567362,115,100,0,0,0
151.0268955,-33.40959832,115,100,0,0,0
150.9766425,-33.94982114,115,100,0,0,0
151.2251421,-33.96718213,115,100,0,0,0
151.1006631,-33.47838325,115,100,0,0,0
151.2510024,-33.49412367,115,100,0,0,0
151.0638149,-33.4417422,270,100,0,0,0
150.9270526,-33.53872144,180,100,0,0,0
151.3398806,-33.63061776,1100,100,0,0,0
151.1277507,-33.46977774,115,100,0,0,0
151.1714398,-33.43886747,1100,100,0,0,0
150.9007974,-33.51122726,270,100,0,0,0
151.155208,-33.948119,270,100,0,0,0
150.9712348,-33.94973211,115,100,0,0,0
151.1966656,-34.03439729,270,100,0,0,0
151.0745675,-33.44190968,115,100,0,0,0
151.1506035,-33.40699574,270,100,0,0,0
150.8681857,-33.52419588,115,100,0,0,0
151.2274582,-33.59298586,1100,100,0,0,0
151.0740692,-33.4644462,270,100,0,0,0
150.9777083,-33.9047542,270,100,0,0,0
151.1552151,-33.44313605,115,100,0,0,0
151.1503167,-33.42051833,115,100,0,0,0
151.0319646,-33.42320536,270,100,0,0,0
150.9923364,-33.97262039,115,100,0,0,0
150.9192012,-33.41685564,270,100,0,0,0
150.8804858,-33.46128644,115,100,0,0,0
151.213805,-33.47104803,1100,100,0,0,0
151.1913475,-34.02981057,270,100,0,0,0
151.3597129,-33.43699223,115,100,0,0,0
150.9323271,-33.5433183,115,100,0,0,0
151.3317926,-33.49072888,270,100,0,0,0
151.3174483,-33.6754041,1100,100,0,0,0
151.2994241,-33.49479785,115,100,0,0,0
151.0660205,-33.82501851,115,100,0,0,0
151.1770991,-33.42542389,115,100,0,0,0
151.0334135,-33.8335198,1100,100,0,0,0
150.9353241,-33.41712514,270,100,0,0,0
150.9006885,-33.51573404,270,100,0,0,0
151.2521793,-33.43552298,270,100,0,0,0
151.1969517,-34.0208757,115,100,0,0,0
151.1326452,-33.49239607,115,100,0,0,0
150.9504683,-33.91332067,270,100,0,0,0
151.2607703,-33.54386014,115,100,0,0,0
151.0415372,-33.95087106,115,100,0,0,0
151.1985087,-33.43024578,115,100,0,0,0
150.915856,-33.55656791,115,100,0,0,0
151.058539,-33.43715084,115,100,0,0,0
151.3163501,-33.45444736,180,100,0,0,0
151.0933028,-34.05537986,1100,100,0,0,0
151.0660242,-34.06397046,270,100,0,0,0
150.8179468,-33.59545663,270,100,0,0,0
151.2733246,-33.7243931,180,100,0,0,0
150.8753288,-33.45218087,270,100,0,0,0
151.0426136,-33.42788276,270,100,0,0,0
151.1061398,-33.47395821,115,100,0,0,0
150.8226518,-33.62259041,270,100,0,0,0
151.3440961,-33.40972983,270,100,0,0,0
151.1410395,-33.85322459,115,100,0,0,0
150.8455444,-33.56888936,270,100,0,0,0
151.0373397,-33.42329055,115,100,0,0,0
151.196761,-34.0298901,270,100,0,0,0
150.6827274,-33.61553847,270,100,0,0,0
151.0800432,-33.43748574,270,100,0,0,0
151.1932261,-33.42565992,115,100,0,0,0
150.9623015,-33.41306262,270,100,0,0,0
151.0688914,-33.45534794,270,100,0,0,0
150.9114492,-33.51591601,270,100,0,0,0
151.3147784,-33.5355891,1100,100,0,0,0
150.8544897,-33.42477015,270,100,0,0,0
150.9977456,-33.97270855,270,100,0,0,0
150.853157,-33.4788504,115,100,0,0,0
150.9405921,-33.42172147,270,100,0,0,0
151.0952844,-33.47830068,115,100,0,0,0
150.9605269,-33.94504669,270,100,0,0,0
151.1140288,-33.85281417,115,100,0,0,0
151.1609722,-33.42518577,115,100,0,0,0
150.868628,-33.50616914,115,100,0,0,0
150.9715556,-33.93621211,270,100,0,0,0
150.8629159,-33.51959645,115,100,0,0,0
151.305068,-33.48134802,1100,100,0,0,0
151.0633138,-33.46427858,115,100,0,0,0
150.8703932,-33.43406162,270,100,0,0,0
151.1824747,-33.4255028,115,100,0,0,0
151.155692,-33.42059839,115,100,0,0,0
151.1452291,-33.40691549,115,100,0,0,0
151.0658175,-33.83403253,115,100,0,0,0
151.1080815,-33.6317967,270,100,0,0,0
150.9406985,-33.4172145,270,100,0,0,0
151.032168,-33.41419093,270,100,0,0,0
151.2543893,-33.59336884,1100,100,0,0,0
150.8114941,-33.42401868,270,100,0,0,0
150.8689595,-33.49264905,270,100,0,0,0
150.8578688,-33.5059835,115,100,0,0,0
151.1406486,-33.87125331,115,100,0,0,0
151.0744679,-33.44641699,270,100,0,0,0
151.1265852,-34.01982359,180,100,0,0,0
151.1451332,-33.41142301,115,100,0,0,0
150.8682964,-33.5196892,115,100,0,0,0
150.8584239,-33.48345015,115,100,0,0,0
150.8912396,-33.46146991,115,100,0,0,0
151.2189803,-34.00316227,1100,100,0,0,0
150.8576466,-33.51499681,115,100,0,0,0
151.0477871,-33.436982,270,100,0,0,0
151.1553105,-33.43862852,115,100,0,0,0
150.9059602,-33.52033193,270,100,0,0,0
151.1366221,-34.0560444,1100,100,0,0,0
151.1915388,-34.02079619,270,100,0,0,0
151.3477618,-33.49996106,180,100,0,0,0
151.1102474,-34.02408206,1100,100,0,0,0
151.2524504,-33.42199966,270,100,0,0,0
151.2949919,-33.72018533,270,100,0,0,0
151.1369179,-34.0425233,270,100,0,0,0
151.1449415,-33.42043804,115,100,0,0,0
151.1250274,-33.59598447,1100,100,0,0,0
151.1608102,-33.93918561,115,100,0,0,0
151.26068,-33.54836784,115,100,0,0,0
150.9658271,-33.94964283,270,100,0,0,0
151.327625,-33.42754534,180,100,0,0,0
150.9330781,-33.51177028,270,100,0,0,0
150.9182324,-33.45741762,115,100,0,0,0
151.1395719,-33.92083199,180,100,0,0,0
151.1414465,-34.08316857,180,100,0,0,0
151.1525231,-33.82183651,180,100,0,0,0
151.0797452,-33.45100771,270,100,0,0,0
151.0835885,-34.00563538,180,100,0,0,0
151.29748,-33.59396942,115,100,0,0,0
151.2735954,-33.71087026,270,100,0,0,0
150.9717694,-33.92719875,270,100,0,0,0
151.1532582,-34.03826136,180,100,0,0,0
150.9183401,-33.45291075,115,100,0,0,0
150.8337637,-33.60926017,270,100,0,0,0
150.9929717,-33.9455801,115,100,0,0,0
151.1665374,-33.41625024,115,100,0,0,0
150.9340347,-33.92206281,412,100,0,0,0
151.3332597,-33.41409382,270,100,0,0,0
151.1439022,-33.97049198,115,100,0,0,0
150.8701729,-33.44307511,270,100,0,0,0
151.1881314,-33.41205861,270,100,0,0,0
151.0901036,-33.46920322,270,100,0,0,0
151.1717219,-33.93483954,115,100,0,0,0
151.1548188,-33.96614759,270,100,0,0,0
150.9032951,-33.40757033,115,100,0,0,0
151.3277979,-33.41852943,270,100,0,0,0
151.1380011,-33.99294567,115,100,0,0,0
151.1104472,-34.01506809,115,100,0,0,0
150.8638021,-33.48354301,115,100,0,0,0
150.90297,-33.42109091,270,100,0,0,0
151.1379027,-33.99745275,115,100,0,0,0
150.9618801,-33.4310907,115,100,0,0,0
151.2954373,-33.69764697,115,100,0,0,0
151.1396699,-33.91632485,180,100,0,0,0
150.8859721,-33.45687152,270,100,0,0,0
151.081516,-33.8568209,115,100,0,0,0
151.1462468,-33.86232035,115,100,0,0,0
151.1360297,-34.08308649,180,100,0,0,0
151.2022575,-33.76846666,180,100,0,0,0
150.7898827,-33.42814387,270,100,0,0,0
151.1218674,-33.98819181,115,100,0,0,0
150.8975956,-33.4209999,270,100,0,0,0
151.146765,-34.08775744,115,100,0,0,0
150.7755619,-33.56765092,270,100,0,0,0
150.8650181,-33.43396917,270,100,0,0,0
150.8973782,-33.43001357,115,100,0,0,0
150.9161807,-33.54304752,115,100,0,0,0
150.9716625,-33.93170543,270,100,0,0,0
151.114623,-33.8257714,1100,100,0,0,0
151.2542076,-33.60238415,270,100,0,0,0
151.2682923,-33.70628714,270,100,0,0,0
150.8469981,-33.51030355,115,100,0,0,0
150.9591321,-33.54827186,115,100,0,0,0
150.9645147,-33.54836049,115,100,0,0,0
151.2955264,-33.69313929,115,100,0,0,0
151.3271924,-33.45008505,270,100,0,0,0
151.3007414,-33.70222897,115,100,0,0,0
151.008354,-33.98189764,180,100,0,0,0
151.1647655,-34.00687372,270,100,0,0,0
151.1648625,-34.00236658,270,100,0,0,0
151.1247346,-33.60950645,270,100,0,0,0
150.9975342,-33.98172198,270,100,0,0,0
150.8649077,-33.4384759,270,100,0,0,0
151.2133796,-34.01209828,115,100,0,0,0
150.9139347,-33.41225846,1100,100,0,0,0
151.103424,-33.84363416,115,100,0,0,0
151.3264993,-33.48614841,270,100,0,0,0
151.1212719,-34.01523397,180,100,0,0,0
150.8864096,-33.43884438,270,100,0,0,0
151.0425124,-33.43238999,115,100,0,0,0
150.8438521,-33.420077,270,100,0,0,0
150.9296287,-33.43055632,270,100,0,0,0
150.8802663,-33.47029996,1100,100,0,0,0
151.10818,-33.62728943,270,100,0,0,0
150.7157556,-33.58910301,270,100,0,0,0
151.1917475,-33.75478677,115,100,0,0,0
151.0424111,-33.43689723,115,100,0,0,0
150.7047485,-33.59791592,270,100,0,0,0
150.8966165,-33.46156129,115,100,0,0,0
151.3318791,-33.48622096,270,100,0,0,0
150.8805955,-33.45677968,270,100,0,0,0
150.9659343,-33.94513618,270,100,0,0,0
151.3641585,-33.48665136,180,100,0,0,0
151.0741689,-33.4599389,270,100,0,0,0
151.3070186,-33.65722587,270,100,0,0,0
151.1932566,-33.93966617,270,100,0,0,0
151.0318629,-33.42771257,270,100,0,0,0
151.301451,-33.66616735,115,100,0,0,0
151.0476861,-33.44148924,270,100,0,0,0
151.2722398,-33.77848415,180,100,0,0,0
150.8630268,-33.51508978,115,100,0,0,0
150.9025363,-33.43911829,270,100,0,0,0
151.076417,-33.84321561,115,100,0,0,0
151.2774571,-33.78757477,115,100,0,0,0
151.3190259,-33.59426408,1100,100,0,0,0
151.1157599,-34.01965815,180,100,0,0,0
151.0996781,-33.52345663,270,100,0,0,0
151.1433083,-33.49706525,270,100,0,0,0
151.1211726,-34.01974099,180,100,0,0,0
151.3478474,-33.49545312,180,100,0,0,0
151.2998527,-33.74730568,115,100,0,0,0
151.1378044,-34.00195982,270,100,0,0,0
151.2164846,-33.86335703,115,100,0,0,0
151.0418469,-33.93735048,115,100,0,0,0
151.1735489,-33.84920201,115,100,0,0,0
151.0603149,-33.83845465,115,100,0,0,0
151.1646685,-34.01138085,270,100,0,0,0
151.1103473,-34.01957508,115,100,0,0,0
150.8522665,-33.51490361,270,100,0,0,0
150.9279128,-33.50266663,270,100,0,0,0
151.1502874,-33.92550207,180,100,0,0,0
150.8685175,-33.51067583,115,100,0,0,0
150.8997074,-33.55629489,270,100,0,0,0
151.1695,-34.03850432,270,100,0,0,0
150.9514473,-33.41739254,270,100,0,0,0
151.1507059,-33.6549857,1100,100,0,0,0
150.936959,-33.57495606,115,100,0,0,0
151.0979226,-33.848058,270,100,0,0,0
151.3475047,-33.51348488,270,100,0,0,0
151.1772254,-33.93041252,180,100,0,0,0
151.0508101,-34.01864556,180,100,0,0,0
151.1440001,-33.96598487,115,100,0,0,0
151.3482754,-33.47291333,180,100,0,0,0
150.9566105,-33.42649522,270,100,0,0,0
151.076518,-33.83870858,115,100,0,0,0
151.0889152,-33.52329098,270,100,0,0,0
150.9772823,-33.92278102,270,100,0,0,0
150.9569273,-33.4129742,270,100,0,0,0
151.1667975,-33.91222311,180,100,0,0,0
151.3649206,-33.44607929,270,100,0,0,0
151.1468632,-34.08325041,115,100,0,0,0
151.1380994,-33.98843859,115,100,0,0,0
151.3425529,-33.4908733,180,100,0,0,0
151.2953483,-33.70215465,115,100,0,0,0
151.1554026,-33.93910469,115,100,0,0,0
151.230365,-33.97627469,180,100,0,0,0
151.1773215,-33.9259053,180,100,0,0,0
151.338721,-33.40965795,1100,100,0,0,0
151.3222488,-33.42747272,180,100,0,0,0
150.8169813,-33.41960683,115,100,0,0,0
151.1210732,-34.024248,180,100,0,0,0
150.9210229,-33.56567206,270,100,0,0,0
150.9458605,-33.42631759,270,100,0,0,0
150.9603118,-33.95405995,270,100,0,0,0
151.1443658,-33.44748305,270,100,0,0,0
151.2952592,-33.70666233,115,100,0,0,0
151.2023647,-34.02095496,180,100,0,0,0
151.1328859,-33.97934243,180,100,0,0,0
151.343411,-33.44579373,180,100,0,0,0
151.1438042,-33.97499908,270,100,0,0,0
151.1288576,-33.91616101,270,100,0,0,0
151.1718183,-33.93033234,180,100,0,0,0
150.9677807,-33.40864376,270,100,0,0,0
151.1719146,-33.92582513,115,100,0,0,0
151.038917,-33.82909891,115,100,0,0,0
151.1118116,-33.46051813,270,100,0,0,0
150.6879928,-33.62014536,270,100,0,0,0
151.0322697,-33.40968371,270,100,0,0,0
150.8917851,-33.43893591,270,100,0,0,0
151.1770333,-33.93942696,115,100,0,0,0
151.0320663,-33.41869815,270,100,0,0,0
151.1624552,-33.86256314,115,100,0,0,0
151.1449783,-33.92091357,180,100,0,0,0
151.1370165,-34.03801626,180,100,0,0,0
151.1434121,-33.99302747,270,100,0,0,0
151.1469283,-33.83076991,1100,100,0,0,0
151.3188509,-33.60327969,115,100,0,0,0
151.3167856,-33.43190779,180,100,0,0,0
151.3539102,-33.45946096,1100,100,0,0,0
150.9244682,-33.42145262,270,100,0,0,0
151.3017168,-33.65264418,270,100,0,0,0
150.8684069,-33.51518252,115,100,0,0,0
150.9871396,-33.9635186,1100,100,0,0,0
151.1531605,-34.04276844,180,100,0,0,0
151.1613915,-33.9121425,180,100,0,0,0
150.966256,-33.93161622,270,100,0,0,0
151.3185883,-33.61680309,1100,100,0,0,0
151.2962379,-33.65707772,1100,100,0,0,0
151.2272907,-33.86351297,115,100,0,0,0
151.2036933,-33.95785356,115,100,0,0,0
151.3277115,-33.42303739,180,100,0,0,0
151.1318003,-34.02892002,180,100,0,0,0
150.682486,-33.62455054,270,100,0,0,0
151.1327873,-33.9838495,180,100,0,0,0
151.3164373,-33.44993945,180,100,0,0,0
150.9022107,-33.45263879,115,100,0,0,0
151.336569,-33.52235662,1100,100,0,0,0
151.1792378,-33.83576008,1100,100,0,0,0
151.2025548,-34.01194052,270,100,0,0,0
150.9660416,-33.94062953,270,100,0,0,0
151.1324915,-33.99737069,270,100,0,0,0
151.3383774,-33.42768989,180,100,0,0,0
151.193066,-33.94868067,115,100,0,0,0
150.9656125,-33.95865612,412,100,0,0,0
150.9621371,-33.87744676,270,100,0,0,0
151.1641832,-34.03391646,270,100,0,0,0
151.1387963,-33.45641739,270,100,0,0,0
151.3224223,-33.41845683,270,100,0,0,0
151.0372382,-33.42779778,270,100,0,0,0
151.2951701,-33.71117,180,100,0,0,0
151.1720109,-33.92131791,115,100,0,0,0
151.2470748,-33.42192379,270,100,0,0,0
151.2079672,-34.01201952,270,100,0,0,0
151.300919,-33.69321359,180,100,0,0,0
151.0443174,-33.8291847,115,100,0,0,0
151.1716256,-33.93934675,115,100,0,0,0
151.0942966,-33.52337392,270,100,0,0,0
151.2003702,-33.85861402,115,100,0,0,0
151.1441959,-33.95697064,270,100,0,0,0
150.6712282,-33.64237208,270,100,0,0,0
151.07672,-33.82969451,115,100,0,0,0
151.1931613,-33.94417342,115,100,0,0,0
151.1771294,-33.93491974,180,100,0,0,0
151.053163,-33.43706654,1100,100,0,0,0
151.2901338,-33.69306476,115,100,0,0,0
150.9119906,-33.49338192,115,100,0,0,0
150.8254791,-33.50992753,115,100,0,0,0
151.1407564,-34.11471762,270,100,0,0,0
150.9332924,-33.50275652,115,100,0,0,0
151.2217945,-33.60643129,1100,100,0,0,0
151.1191344,-33.8664181,115,100,0,0,0
