lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
151.164087,-33.4049415,1100,100,0,0,0
151.1748357,-33.4051001,1100,100,0,0,0
151.1855845,-33.4052578,1100,100,0,0,0
151.1963334,-33.4054146,1100,100,0,0,0
151.2070824,-33.4055704,1100,100,0,0,0
151.2178314,-33.4057253,1100,100,0,0,0
151.2285806,-33.4058793,1100,100,0,0,0
151.2393298,-33.4060324,1100,100,0,0,0
151.2500791,-33.4061845,1100,100,0,0,0
151.2608285,-33.4063357,1100,100,0,0,0
151.2715779,-33.4064859,1100,100,0,0,0
151.2823275,-33.4066352,1100,100,0,0,0
151.2930771,-33.4067836,1100,100,0,0,0
151.3038268,-33.4069311,1100,100,0,0,0
151.3145765,-33.4070776,1100,100,0,0,0
151.3253264,-33.4072232,1100,100,0,0,0
151.3360763,-33.4073679,1100,100,0,0,0
151.3468263,-33.4075116,270,100,0,0,0
151.3575764,-33.4076544,270,100,0,0,0
150.7984565,-33.4080078,1100,100,0,0,0
150.8092032,-33.4081981,1100,100,0,0,0
150.81995,-33.4083875,1100,100,0,0,0
150.8306968,-33.408576,1100,100,0,0,0
150.8414438,-33.4087635,1100,100,0,0,0
150.8521909,-33.4089501,1100,100,0,0,0
150.8629381,-33.4091358,1100,100,0,0,0
150.8736854,-33.4093205,1100,100,0,0,0
150.8844327,-33.4095043,1100,100,0,0,0
150.8951802,-33.4096872,1100,100,0,0,0
150.9059278,-33.4098691,270,100,0,0,0
150.9166755,-33.4100501,270,100,0,0,0
150.9274232,-33.4102302,1100,100,0,0,0
150.9381711,-33.4104094,1100,100,0,0,0
150.948919,-33.4105876,1100,100,0,0,0
150.9596671,-33.4107649,1100,100,0,0,0
150.9704152,-33.4109412,1100,100,0,0,0
150.9811635,-33.4111167,1100,100,0,0,0
150.9919118,-33.4112912,1100,100,0,0,0
151.0026602,-33.4114647,1100,100,0,0,0
151.0134087,-33.4116374,1100,100,0,0,0
151.0241573,-33.4118091,1100,100,0,0,0
151.034906,-33.4119799,270,100,0,0,0
151.0456548,-33.4121497,1100,100,0,0,0
151.0564037,-33.4123186,1100,100,0,0,0
151.0671526,-33.4124866,1100,100,0,0,0
151.0779017,-33.4126537,1100,100,0,0,0
151.0886508,-33.4128198,1100,100,0,0,0
151.0994001,-33.412985,1100,100,0,0,0
151.1101494,-33.4131493,1100,100,0,0,0
151.1208988,-33.4133126,1100,100,0,0,0
151.1316483,-33.413475,1100,100,0,0,0
151.1423978,-33.4136365,1100,100,0,0,0
151.1531475,-33.413797,115,100,0,0,0
151.1638973,-33.4139566,1100,100,0,0,0
151.1746471,-33.4141153,1100,100,0,0,0
151.185397,-33.4142731,1100,100,0,0,0
151.196147,-33.4144299,1100,100,0,0,0
151.2068971,-33.4145858,1100,100,0,0,0
151.2176472,-33.4147408,1100,100,0,0,0
151.2283975,-33.4148948,1100,100,0,0,0
151.2391478,-33.4150479,1100,100,0,0,0
151.2498982,-33.4152,1100,100,0,0,0
151.2606487,-33.4153513,1100,100,0,0,0
151.2713993,-33.4155016,1100,100,0,0,0
151.2821499,-33.415651,1100,100,0,0,0
151.2929007,-33.4157994,1100,100,0,0,0
151.3036515,-33.4159469,1100,100,0,0,0
151.3144024,-33.4160935,1100,100,0,0,0
151.3251533,-33.4162391,270,100,0,0,0
151.3359044,-33.4163838,270,100,0,0,0
151.3466555,-33.4165276,1100,100,0,0,0
151.3574067,-33.4166705,1100,100,0,0,0
150.4651001,-33.410658,1100,100,0,0,0
150.4758446,-33.4108772,1100,100,0,0,0
150.4865891,-33.4110955,1100,100,0,0,0
150.4973337,-33.4113128,1100,100,0,0,0
150.5080785,-33.4115292,1100,100,0,0,0
150.5188234,-33.4117447,1100,100,0,0,0
150.5295684,-33.4119592,1100,100,0,0,0
150.5403135,-33.4121729,1100,100,0,0,0
150.5510587,-33.4123856,1100,100,0,0,0
150.5618041,-33.4125973,1100,100,0,0,0
150.5725495,-33.4128082,1100,100,0,0,0
150.5832951,-33.4130181,1100,100,0,0,0
150.5940408,-33.413227,1100,100,0,0,0
150.6047865,-33.4134351,1100,100,0,0,0
150.6155324,-33.4136422,1100,100,0,0,0
150.6262784,-33.4138484,1100,100,0,0,0
150.6370245,-33.4140536,1100,100,0,0,0
150.6477708,-33.414258,1100,100,0,0,0
150.6585171,-33.4144614,1100,100,0,0,0
150.6692635,-33.4146638,1100,100,0,0,0
150.6800101,-33.4148654,1100,100,0,0,0
150.6907567,-33.415066,1100,100,0,0,0
150.7015035,-33.4152657,1100,100,0,0,0
