id,lon,lat,taxonomy,number,structural,day,night,suburb,lzcode,lzpurpose
1,151.1747267,-33.9256234,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
2,151.1747074,-33.9265248,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
3,151.1757888,-33.9265408,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
4,151.1768702,-33.9265569,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
5,151.1779516,-33.9265729,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
6,151.179033,-33.9265889,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
7,151.1801144,-33.9266049,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
8,151.1811957,-33.9266208,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
9,151.1822771,-33.9266368,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
10,151.1725254,-33.9273942,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
11,151.1736068,-33.9274102,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
12,151.1746882,-33.9274263,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
13,151.1757696,-33.9274423,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
14,151.176851,-33.9274583,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
15,151.1779324,-33.9274743,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
16,151.1790138,-33.9274903,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
17,151.1800952,-33.9275063,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
18,151.1811766,-33.9275223,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
19,151.182258,-33.9275383,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
20,151.1833394,-33.9275542,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
21,151.1714248,-33.9282795,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
22,151.1725062,-33.9282956,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
23,151.1735876,-33.9283117,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
24,151.174669,-33.9283277,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
25,151.1757504,-33.9283437,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
26,151.1768318,-33.9283597,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
27,151.1779132,-33.9283758,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
28,151.1789946,-33.9283918,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
29,151.180076,-33.9284077,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
30,151.1811574,-33.9284237,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
31,151.1822388,-33.9284397,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
32,151.1833202,-33.9284557,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
33,151.1724869,-33.929197,S1L_H,0.9,6786171.575,77.8,77.8,Mascot,SP2,Airport
